File name,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,D1_Mean,D1_Std,D2_Mean,D2_Std,D3_Mean,D3_Std,A3_Mean,A3_Std,RMS_Envelope_Mean,Hilbert_Envelope_Mean,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2,,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2
h1,0,-8.32E+01,1.26E+02,-4.48E+01,2.44E+01,-4.75E+00,1.19E+01,4.15E+00,1.25E+01,-3.81E+00,1.02E+01,-1.19E+01,1.09E+01,-5.76E+00,3.89E+03,4.24E+03,7.53E+03,7.43E-02,1.09E-01,3.19E-06,1.93E-02,7.25E-05,3.54E-02,-2.30E-04,9.67E-02,9.36E-04,2.89E-01,1.09E-01,1.36E-01,3.70E+01,3.19E-02,3.79E-01,0.00E+00,9.53E+03,7.21E+00,1.00E+00,1.57E+02,,3.70E+01,3.19E-02,3.79E-01,0.00E+00,9.53E+03,7.21E+00,1.00E+00,1.57E+02
h2,0,-3.54E+01,1.25E+02,-4.51E+01,2.64E+01,-5.10E+00,1.21E+01,3.57E+00,1.23E+01,-3.62E+00,1.10E+01,-1.09E+01,1.13E+01,-4.76E+00,3.89E+03,4.22E+03,7.49E+03,7.21E-02,1.87E-01,-2.27E-06,1.75E-02,-1.40E-04,5.67E-02,7.27E-04,1.60E-01,1.39E-04,5.02E-01,1.86E-01,2.33E-01,3.82E+02,1.34E-01,2.49E+00,0.00E+00,4.10E+05,6.92E+00,1.00E+00,1.00E+00,,3.82E+02,1.34E-01,2.49E+00,0.00E+00,4.10E+05,6.92E+00,1.00E+00,1.00E+00
h3,0,-3.57E+01,1.33E+02,-4.76E+01,2.30E+01,-3.39E+00,1.65E+01,5.61E+00,1.23E+01,-5.35E+00,8.58E+00,-1.20E+01,9.49E+00,-4.38E+00,3.56E+03,4.04E+03,6.83E+03,6.65E-02,2.00E-01,3.17E-06,8.52E-03,-1.42E-04,4.66E-02,5.22E-05,1.53E-01,1.11E-04,5.45E-01,1.99E-01,2.49E-01,2.13E+02,1.35E-01,1.89E+00,0.00E+00,2.37E+05,6.85E+00,3.00E+00,3.00E+00,,2.13E+02,1.35E-01,1.89E+00,0.00E+00,2.37E+05,6.85E+00,3.00E+00,3.00E+00
h4,0,-2.50E+01,1.35E+02,-4.88E+01,2.40E+01,-3.43E+00,1.92E+01,6.28E+00,1.21E+01,-5.70E+00,9.60E+00,-1.26E+01,8.46E+00,-5.92E+00,3.45E+03,3.96E+03,6.65E+03,6.23E-02,2.40E-01,-1.62E-05,8.46E-03,1.81E-04,5.12E-02,2.40E-04,1.62E-01,1.10E-03,6.60E-01,2.39E-01,3.03E-01,1.86E+02,1.79E-01,2.40E+00,0.00E+00,3.83E+05,6.77E+00,1.00E+00,1.00E+00,,1.86E+02,1.79E-01,2.40E+00,0.00E+00,3.83E+05,6.77E+00,1.00E+00,1.00E+00
h5,0,-3.39E+01,1.29E+02,-4.70E+01,2.47E+01,-5.67E+00,1.43E+01,3.80E+00,1.15E+01,-4.93E+00,1.16E+01,-1.12E+01,1.02E+01,-7.12E+00,3.76E+03,4.13E+03,7.25E+03,7.17E-02,1.87E-01,-1.99E-05,1.16E-02,-6.41E-06,5.42E-02,5.65E-04,1.56E-01,-1.34E-04,5.04E-01,1.87E-01,2.34E-01,1.98E+02,1.39E-01,1.69E+00,0.00E+00,1.89E+05,7.07E+00,1.00E+00,1.00E+00,,1.98E+02,1.39E-01,1.69E+00,0.00E+00,1.89E+05,7.07E+00,1.00E+00,1.00E+00
h6,0,-3.05E+01,1.36E+02,-4.82E+01,2.44E+01,-4.92E+00,1.90E+01,4.85E+00,1.18E+01,-5.27E+00,1.00E+01,-1.24E+01,1.00E+01,-5.95E+00,3.43E+03,3.94E+03,6.67E+03,6.27E-02,2.23E-01,-4.79E-06,7.48E-03,-6.83E-05,4.88E-02,4.92E-04,1.49E-01,8.01E-04,6.15E-01,2.23E-01,2.81E-01,5.65E+02,1.98E-01,3.49E+00,0.00E+00,8.05E+05,6.53E+00,1.00E+00,1.00E+00,,5.65E+02,1.98E-01,3.49E+00,0.00E+00,8.05E+05,6.53E+00,1.00E+00,1.00E+00
h7,0,-2.32E+01,1.27E+02,-4.56E+01,2.60E+01,-4.79E+00,1.21E+01,4.44E+00,1.24E+01,-3.98E+00,1.07E+01,-1.15E+01,1.02E+01,-6.47E+00,3.81E+03,4.17E+03,7.29E+03,7.38E-02,2.04E-01,-7.37E-06,1.16E-02,5.24E-05,6.06E-02,1.20E-03,1.82E-01,5.93E-04,5.42E-01,2.04E-01,2.54E-01,,,,,,,,,,4.08E+02,1.82E-01,2.57E+00,0.00E+00,4.40E+05,6.98E+00,1.00E+00,1.00E+00
h8,0,-2.36E+01,1.29E+02,-4.37E+01,2.62E+01,-4.63E+00,1.47E+01,5.33E+00,1.40E+01,-3.43E+00,1.16E+01,-9.97E+00,1.19E+01,-5.86E+00,3.73E+03,4.17E+03,7.24E+03,6.64E-02,2.17E-01,-1.76E-05,1.25E-02,1.81E-04,6.07E-02,-4.91E-04,1.72E-01,-1.22E-03,5.87E-01,2.17E-01,2.73E-01,,,,,,,,,,2.50E+02,1.98E-01,2.49E+00,0.00E+00,4.10E+05,7.01E+00,1.00E+00,2.00E+00
h9,0,-2.05E+01,1.22E+02,-4.62E+01,2.62E+01,-6.49E+00,9.94E+00,2.54E+00,1.19E+01,-5.13E+00,1.03E+01,-1.21E+01,1.12E+01,-5.26E+00,4.02E+03,4.25E+03,7.67E+03,7.91E-02,1.99E-01,-1.25E-05,1.42E-02,-1.58E-04,6.88E-02,-4.20E-04,1.95E-01,2.41E-03,5.22E-01,1.99E-01,2.47E-01,,,,,,,,,,2.44E+02,2.00E-01,2.37E+00,0.00E+00,3.74E+05,7.22E+00,1.00E+00,1.00E+00
h10,0,-5.30E+01,1.51E+02,-7.52E+01,1.73E+01,1.35E+01,1.72E+00,-2.82E+00,1.05E+01,-1.21E+00,7.92E+00,-3.33E+00,1.22E+01,-8.50E+00,3.05E+03,3.17E+03,4.66E+03,8.76E-02,1.92E-01,1.72E-06,2.77E-03,-6.78E-05,4.10E-02,3.14E-04,2.56E-01,-8.29E-04,4.78E-01,1.92E-01,2.38E-01,,,,,,,,,,1.04E+02,1.63E-01,1.80E+00,0.00E+00,2.15E+05,6.74E+00,1.00E+00,1.00E+00
