Time(s),Amplitude
0.000000000000000000e+00,6.591796875000000000e-03
2.083333333333333264e-05,2.677917480468750000e-02
4.166666666666666528e-05,4.463195800781250000e-02
6.250000000000000130e-05,2.867126464843750000e-02
8.333333333333333055e-05,7.751464843750000000e-03
1.041666666666666734e-04,-1.057434082031250000e-02
1.250000000000000026e-04,-2.592468261718750000e-02
1.458333333333333454e-04,-6.805419921875000000e-03
1.666666666666666611e-04,1.690673828125000000e-02
1.875000000000000039e-04,1.292419433593750000e-02
2.083333333333333467e-04,-3.936767578125000000e-03
2.291666666666666624e-04,-4.025268554687500000e-02
2.500000000000000052e-04,-5.776977539062500000e-02
2.708333333333333209e-04,-1.736450195312500000e-02
2.916666666666666908e-04,1.307678222656250000e-02
3.125000000000000065e-04,3.967285156250000000e-04
3.333333333333333222e-04,-2.967834472656250000e-02
3.541666666666666921e-04,-8.258056640625000000e-02
3.750000000000000078e-04,-1.043243408203125000e-01
3.958333333333333235e-04,-6.344604492187500000e-02
4.166666666666666934e-04,-3.820800781250000000e-02
4.375000000000000091e-04,-3.689575195312500000e-02
4.583333333333333248e-04,-3.533935546875000000e-02
4.791666666666666405e-04,-7.424926757812500000e-02
5.000000000000000104e-04,-1.050567626953125000e-01
5.208333333333333261e-04,-7.266235351562500000e-02
5.416666666666666418e-04,-4.428100585937500000e-02
5.624999999999999575e-04,-4.505920410156250000e-02
5.833333333333333816e-04,-5.703735351562500000e-02
6.041666666666666973e-04,-9.539794921875000000e-02
6.250000000000000130e-04,-1.203613281250000000e-01
6.458333333333333287e-04,-1.068115234375000000e-01
6.666666666666666444e-04,-9.640502929687500000e-02
6.874999999999999601e-04,-8.503723144531250000e-02
7.083333333333333842e-04,-7.388305664062500000e-02
7.291666666666666999e-04,-1.018676757812500000e-01
7.500000000000000156e-04,-1.379241943359375000e-01
7.708333333333333313e-04,-1.463623046875000000e-01
7.916666666666666470e-04,-1.466064453125000000e-01
8.124999999999999627e-04,-1.341094970703125000e-01
8.333333333333333868e-04,-1.061859130859375000e-01
8.541666666666667025e-04,-9.591674804687500000e-02
8.750000000000000182e-04,-1.104583740234375000e-01
8.958333333333333339e-04,-1.365509033203125000e-01
9.166666666666666496e-04,-1.655120849609375000e-01
9.374999999999999653e-04,-1.704864501953125000e-01
9.583333333333332810e-04,-1.294708251953125000e-01
9.791666666666665967e-04,-7.469177246093750000e-02
1.000000000000000021e-03,-6.600952148437500000e-02
1.020833333333333228e-03,-1.177215576171875000e-01
1.041666666666666652e-03,-1.765899658203125000e-01
1.062500000000000076e-03,-1.856689453125000000e-01
1.083333333333333284e-03,-1.390991210937500000e-01
1.104166666666666708e-03,-8.900451660156250000e-02
1.124999999999999915e-03,-9.254455566406250000e-02
1.145833333333333339e-03,-1.360931396484375000e-01
1.166666666666666763e-03,-1.700592041015625000e-01
1.187499999999999971e-03,-1.803588867187500000e-01
1.208333333333333395e-03,-1.650543212890625000e-01
1.229166666666666602e-03,-1.309509277343750000e-01
1.250000000000000026e-03,-1.136932373046875000e-01
1.270833333333333233e-03,-1.286315917968750000e-01
1.291666666666666657e-03,-1.531372070312500000e-01
1.312500000000000082e-03,-1.737365722656250000e-01
1.333333333333333289e-03,-1.818695068359375000e-01
1.354166666666666713e-03,-1.704864501953125000e-01
1.374999999999999920e-03,-1.498718261718750000e-01
1.395833333333333344e-03,-1.300201416015625000e-01
1.416666666666666768e-03,-1.171264648437500000e-01
1.437499999999999976e-03,-1.211090087890625000e-01
1.458333333333333400e-03,-1.418762207031250000e-01
1.479166666666666607e-03,-1.669921875000000000e-01
1.500000000000000031e-03,-1.781616210937500000e-01
1.520833333333333239e-03,-1.610412597656250000e-01
1.541666666666666663e-03,-1.212921142578125000e-01
1.562500000000000087e-03,-9.547424316406250000e-02
1.583333333333333294e-03,-1.190185546875000000e-01
1.604166666666666718e-03,-1.649322509765625000e-01
1.624999999999999925e-03,-1.723022460937500000e-01
1.645833333333333350e-03,-1.348876953125000000e-01
1.666666666666666774e-03,-9.481811523437500000e-02
1.687499999999999981e-03,-8.367919921875000000e-02
1.708333333333333405e-03,-1.135406494140625000e-01
1.729166666666666612e-03,-1.508026123046875000e-01
1.750000000000000036e-03,-1.459503173828125000e-01
1.770833333333333244e-03,-1.110076904296875000e-01
1.791666666666666668e-03,-8.888244628906250000e-02
1.812500000000000092e-03,-9.480285644531250000e-02
1.833333333333333299e-03,-1.323547363281250000e-01
1.854166666666666723e-03,-1.689453125000000000e-01
1.874999999999999931e-03,-1.650238037109375000e-01
1.895833333333333355e-03,-1.358795166015625000e-01
1.916666666666666562e-03,-1.049499511718750000e-01
1.937499999999999986e-03,-7.981872558593750000e-02
1.958333333333333193e-03,-8.685302734375000000e-02
1.979166666666666834e-03,-1.230621337890625000e-01
2.000000000000000042e-03,-1.454315185546875000e-01
2.020833333333333249e-03,-1.313934326171875000e-01
2.041666666666666456e-03,-9.040832519531250000e-02
2.062500000000000097e-03,-6.282043457031250000e-02
2.083333333333333304e-03,-7.424926757812500000e-02
2.104166666666666512e-03,-8.515930175781250000e-02
2.125000000000000153e-03,-6.767272949218750000e-02
2.145833333333333360e-03,-4.765319824218750000e-02
2.166666666666666567e-03,-4.333496093750000000e-02
2.187500000000000208e-03,-6.416320800781250000e-02
2.208333333333333415e-03,-9.841918945312500000e-02
2.229166666666666623e-03,-1.022186279296875000e-01
2.249999999999999830e-03,-7.711791992187500000e-02
2.270833333333333471e-03,-6.336975097656250000e-02
2.291666666666666678e-03,-7.286071777343750000e-02
2.312499999999999886e-03,-1.008605957031250000e-01
2.333333333333333526e-03,-1.141204833984375000e-01
2.354166666666666734e-03,-8.595275878906250000e-02
2.374999999999999941e-03,-5.972290039062500000e-02
2.395833333333333148e-03,-5.871582031250000000e-02
2.416666666666666789e-03,-5.419921875000000000e-02
2.437499999999999997e-03,-5.210876464843750000e-02
2.458333333333333204e-03,-5.325317382812500000e-02
2.479166666666666845e-03,-4.409790039062500000e-02
2.500000000000000052e-03,-5.308532714843750000e-02
2.520833333333333259e-03,-6.359863281250000000e-02
2.541666666666666467e-03,-3.611755371093750000e-02
2.562500000000000108e-03,-2.058410644531250000e-02
2.583333333333333315e-03,-4.957580566406250000e-02
2.604166666666666522e-03,-7.453918457031250000e-02
2.625000000000000163e-03,-7.939147949218750000e-02
2.645833333333333370e-03,-7.012939453125000000e-02
2.666666666666666578e-03,-5.326843261718750000e-02
2.687499999999999785e-03,-5.822753906250000000e-02
2.708333333333333426e-03,-7.752990722656250000e-02
2.729166666666666633e-03,-8.166503906250000000e-02
2.749999999999999840e-03,-8.238220214843750000e-02
2.770833333333333481e-03,-7.588195800781250000e-02
2.791666666666666689e-03,-4.161071777343750000e-02
2.812499999999999896e-03,-4.745483398437500000e-03
2.833333333333333537e-03,2.243041992187500000e-03
2.854166666666666744e-03,-2.960205078125000000e-02
2.874999999999999951e-03,-8.134460449218750000e-02
2.895833333333333159e-03,-9.956359863281250000e-02
2.916666666666666800e-03,-6.657409667968750000e-02
2.937500000000000007e-03,-2.697753906250000000e-02
2.958333333333333214e-03,-1.710510253906250000e-02
2.979166666666666855e-03,-4.347229003906250000e-02
3.000000000000000062e-03,-8.570861816406250000e-02
3.020833333333333270e-03,-9.840393066406250000e-02
3.041666666666666477e-03,-6.993103027343750000e-02
3.062500000000000118e-03,-3.353881835937500000e-02
3.083333333333333325e-03,-1.959228515625000000e-02
3.104166666666666533e-03,-4.730224609375000000e-02
3.125000000000000173e-03,-1.053924560546875000e-01
3.145833333333333381e-03,-1.404876708984375000e-01
3.166666666666666588e-03,-1.258239746093750000e-01
3.187499999999999795e-03,-8.547973632812500000e-02
3.208333333333333436e-03,-4.908752441406250000e-02
3.229166666666666644e-03,-3.692626953125000000e-02
3.249999999999999851e-03,-5.879211425781250000e-02
3.270833333333333492e-03,-1.041870117187500000e-01
3.291666666666666699e-03,-1.448974609375000000e-01
3.312499999999999906e-03,-1.442260742187500000e-01
3.333333333333333547e-03,-9.239196777343750000e-02
3.354166666666666755e-03,-3.549194335937500000e-02
3.374999999999999962e-03,-2.566528320312500000e-02
3.395833333333333169e-03,-5.339050292968750000e-02
3.416666666666666810e-03,-7.868957519531250000e-02
3.437500000000000017e-03,-9.194946289062500000e-02
3.458333333333333225e-03,-1.012878417968750000e-01
3.479166666666666866e-03,-1.053771972656250000e-01
3.500000000000000073e-03,-1.013641357421875000e-01
3.520833333333333280e-03,-8.834838867187500000e-02
3.541666666666666487e-03,-7.015991210937500000e-02
3.562500000000000128e-03,-6.903076171875000000e-02
3.583333333333333336e-03,-9.521484375000000000e-02
3.604166666666666543e-03,-1.212768554687500000e-01
3.625000000000000184e-03,-1.187133789062500000e-01
3.645833333333333391e-03,-8.995056152343750000e-02
3.666666666666666598e-03,-6.440734863281250000e-02
3.687499999999999806e-03,-7.044982910156250000e-02
3.708333333333333447e-03,-9.429931640625000000e-02
3.729166666666666654e-03,-1.044158935546875000e-01
3.749999999999999861e-03,-1.048889160156250000e-01
3.770833333333333502e-03,-1.067352294921875000e-01
3.791666666666666709e-03,-9.643554687500000000e-02
3.812499999999999917e-03,-7.759094238281250000e-02
3.833333333333333124e-03,-6.704711914062500000e-02
3.854166666666666765e-03,-7.162475585937500000e-02
3.874999999999999972e-03,-9.652709960937500000e-02
3.895833333333333180e-03,-1.278839111328125000e-01
3.916666666666666387e-03,-1.333312988281250000e-01
3.937500000000000028e-03,-1.133422851562500000e-01
3.958333333333333669e-03,-9.994506835937500000e-02
3.979166666666666442e-03,-1.071929931640625000e-01
4.000000000000000083e-03,-1.166534423828125000e-01
4.020833333333333724e-03,-1.123046875000000000e-01
4.041666666666666498e-03,-9.970092773437500000e-02
4.062500000000000139e-03,-8.937072753906250000e-02
4.083333333333332912e-03,-8.534240722656250000e-02
4.104166666666666553e-03,-9.805297851562500000e-02
4.125000000000000194e-03,-1.198272705078125000e-01
4.145833333333332968e-03,-1.175537109375000000e-01
4.166666666666666609e-03,-8.557128906250000000e-02
4.187500000000000250e-03,-4.978942871093750000e-02
4.208333333333333023e-03,-3.633117675781250000e-02
4.229166666666666664e-03,-6.193542480468750000e-02
4.250000000000000305e-03,-1.068420410156250000e-01
4.270833333333333079e-03,-1.232452392578125000e-01
4.291666666666666720e-03,-9.277343750000000000e-02
4.312500000000000361e-03,-3.945922851562500000e-02
4.333333333333333134e-03,-1.515197753906250000e-02
4.354166666666666775e-03,-5.700683593750000000e-02
4.375000000000000416e-03,-1.207275390625000000e-01
4.395833333333333190e-03,-1.329650878906250000e-01
4.416666666666666831e-03,-9.214782714843750000e-02
4.437499999999999604e-03,-3.787231445312500000e-02
4.458333333333333245e-03,-3.799438476562500000e-03
4.479166666666666886e-03,-1.531982421875000000e-02
4.499999999999999660e-03,-5.856323242187500000e-02
4.520833333333333301e-03,-8.935546875000000000e-02
4.541666666666666942e-03,-7.676696777343750000e-02
4.562499999999999716e-03,-2.555847167968750000e-02
4.583333333333333356e-03,1.298522949218750000e-02
4.604166666666666997e-03,-3.372192382812500000e-03
4.624999999999999771e-03,-4.722595214843750000e-02
4.645833333333333412e-03,-7.183837890625000000e-02
4.666666666666667053e-03,-5.212402343750000000e-02
4.687499999999999827e-03,5.203247070312500000e-03
4.708333333333333467e-03,4.199218750000000000e-02
4.729166666666666241e-03,2.587890625000000000e-02
4.749999999999999882e-03,-2.136230468750000000e-03
4.770833333333333523e-03,-1.310729980468750000e-02
4.791666666666666297e-03,-7.003784179687500000e-03
4.812499999999999938e-03,8.346557617187500000e-03
4.833333333333333579e-03,5.340576171875000000e-03
4.854166666666666352e-03,-5.493164062500000000e-03
4.874999999999999993e-03,8.590698242187500000e-03
4.895833333333333634e-03,1.997375488281250000e-02
4.916666666666666408e-03,1.432800292968750000e-02
4.937500000000000049e-03,1.098632812500000000e-02
4.958333333333333690e-03,-3.601074218750000000e-03
4.979166666666666463e-03,-1.705932617187500000e-02
5.000000000000000104e-03,-2.273559570312500000e-03
5.020833333333333745e-03,7.843017578125000000e-03
5.041666666666666519e-03,1.481628417968750000e-02
5.062500000000000160e-03,4.219055175781250000e-02
5.083333333333332933e-03,4.397583007812500000e-02
5.104166666666666574e-03,1.681518554687500000e-02
5.125000000000000215e-03,1.358032226562500000e-02
5.145833333333332989e-03,2.790832519531250000e-02
5.166666666666666630e-03,5.163574218750000000e-02
5.187500000000000271e-03,8.110046386718750000e-02
5.208333333333333044e-03,6.311035156250000000e-02
5.229166666666666685e-03,1.725769042968750000e-02
5.250000000000000326e-03,2.084350585937500000e-02
5.270833333333333100e-03,5.311584472656250000e-02
5.291666666666666741e-03,5.924987792968750000e-02
5.312500000000000382e-03,4.704284667968750000e-02
5.333333333333333155e-03,3.698730468750000000e-02
5.354166666666666796e-03,4.354858398437500000e-02
5.374999999999999570e-03,6.433105468750000000e-02
5.395833333333333211e-03,6.562805175781250000e-02
5.416666666666666852e-03,3.213500976562500000e-02
5.437499999999999625e-03,-1.144409179687500000e-02
5.458333333333333266e-03,-2.798461914062500000e-02
5.479166666666666907e-03,9.841918945312500000e-03
5.499999999999999681e-03,7.901000976562500000e-02
5.520833333333333322e-03,1.108093261718750000e-01
5.541666666666666963e-03,7.035827636718750000e-02
5.562499999999999736e-03,1.708984375000000000e-03
5.583333333333333377e-03,-2.740478515625000000e-02
5.604166666666667018e-03,-6.408691406250000000e-04
5.624999999999999792e-03,5.270385742187500000e-02
5.645833333333333433e-03,8.969116210937500000e-02
5.666666666666667074e-03,7.815551757812500000e-02
5.687499999999999847e-03,4.507446289062500000e-02
5.708333333333333488e-03,3.952026367187500000e-02
5.729166666666666262e-03,4.389953613281250000e-02
5.749999999999999903e-03,3.825378417968750000e-02
5.770833333333333544e-03,4.174804687500000000e-02
5.791666666666666317e-03,4.199218750000000000e-02
5.812499999999999958e-03,3.831481933593750000e-02
5.833333333333333599e-03,4.566955566406250000e-02
5.854166666666666373e-03,2.726745605468750000e-02
5.875000000000000014e-03,-4.379272460937500000e-03
5.895833333333333655e-03,2.160644531250000000e-02
5.916666666666666428e-03,7.090759277343750000e-02
5.937500000000000069e-03,7.713317871093750000e-02
5.958333333333333710e-03,4.725646972656250000e-02
5.979166666666666484e-03,2.899169921875000000e-03
6.000000000000000125e-03,-1.475524902343750000e-02
6.020833333333333766e-03,2.595520019531250000e-02
6.041666666666666539e-03,6.938171386718750000e-02
6.062500000000000180e-03,7.035827636718750000e-02
6.083333333333332954e-03,3.744506835937500000e-02
6.104166666666666595e-03,-6.439208984375000000e-03
6.125000000000000236e-03,-1.266479492187500000e-02
6.145833333333333010e-03,1.557922363281250000e-02
6.166666666666666650e-03,2.301025390625000000e-02
6.187500000000000291e-03,1.805114746093750000e-02
6.208333333333333065e-03,6.851196289062500000e-03
6.229166666666666706e-03,-2.319335937500000000e-02
6.250000000000000347e-03,-1.817321777343750000e-02
6.270833333333333121e-03,1.605224609375000000e-02
6.291666666666666761e-03,1.564025878906250000e-02
6.312500000000000402e-03,9.338378906250000000e-03
6.333333333333333176e-03,1.011657714843750000e-02
6.354166666666666817e-03,-9.262084960937500000e-03
6.374999999999999591e-03,-1.004028320312500000e-02
6.395833333333333232e-03,1.310729980468750000e-02
6.416666666666666873e-03,2.925109863281250000e-02
6.437499999999999646e-03,4.258728027343750000e-02
6.458333333333333287e-03,1.715087890625000000e-02
6.479166666666666928e-03,-3.628540039062500000e-02
6.499999999999999702e-03,-3.143310546875000000e-02
6.520833333333333343e-03,7.186889648437500000e-03
6.541666666666666984e-03,2.249145507812500000e-02
6.562499999999999757e-03,2.684020996093750000e-02
6.583333333333333398e-03,4.928588867187500000e-03
