Time(s),OriginalSignal,AmplitudeEnvelope
0.000000000000000000e+00,-4.980468750000000000e-02,5.851903492174361787e-01
2.083333333333333264e-05,-3.640747070312500000e-02,5.849993466034325573e-01
4.166666666666666528e-05,-2.221679687500000000e-02,5.848083162816352099e-01
6.250000000000000130e-05,-7.415771484375000000e-03,5.846172583095784470e-01
8.333333333333333055e-05,1.168823242187500000e-02,5.844261727444417520e-01
1.041666666666666734e-04,3.436279296875000000e-02,5.842350596429970455e-01
1.250000000000000026e-04,4.934692382812500000e-02,5.840439190616416587e-01
1.458333333333333454e-04,5.612182617187500000e-02,5.838527510564752721e-01
1.666666666666666611e-04,5.947875976562500000e-02,5.836615556833905094e-01
1.875000000000000039e-04,5.636596679687500000e-02,5.834703329981365538e-01
2.083333333333333467e-04,5.435180664062500000e-02,5.832790830563761020e-01
2.291666666666666624e-04,5.383300781250000000e-02,5.830878059137177827e-01
2.500000000000000052e-04,4.837036132812500000e-02,5.828965016257482423e-01
2.708333333333333209e-04,3.955078125000000000e-02,5.827051702480626760e-01
2.916666666666666908e-04,3.314208984375000000e-02,5.825138118362906958e-01
3.125000000000000065e-04,2.883911132812500000e-02,5.823224264461059896e-01
3.333333333333333222e-04,2.490234375000000000e-02,5.821310141332253218e-01
3.541666666666666921e-04,2.261352539062500000e-02,5.819395749534111983e-01
3.750000000000000078e-04,1.687622070312500000e-02,5.817481089624801927e-01
3.958333333333333235e-04,7.446289062500000000e-03,5.815566162163232633e-01
4.166666666666666934e-04,-2.075195312500000000e-03,5.813650967709285133e-01
4.375000000000000091e-04,-1.287841796875000000e-02,5.811735506823977326e-01
4.583333333333333248e-04,-2.017211914062500000e-02,5.809819780069467310e-01
4.791666666666666405e-04,-2.319335937500000000e-02,5.807903788008935697e-01
5.000000000000000104e-04,-2.496337890625000000e-02,5.805987531206262542e-01
5.208333333333333261e-04,-2.407836914062500000e-02,5.804071010225643201e-01
5.416666666666666418e-04,-2.239990234375000000e-02,5.802154225631225293e-01
5.624999999999999575e-04,-2.014160156250000000e-02,5.800237177986781179e-01
5.833333333333333816e-04,-1.507568359375000000e-02,5.798319867855407095e-01
6.041666666666666973e-04,-7.537841796875000000e-03,5.796402295799311100e-01
6.250000000000000130e-04,-5.706787109375000000e-03,5.794484462379737577e-01
6.458333333333333287e-04,-1.000976562500000000e-02,5.792566368157229251e-01
6.666666666666666444e-04,-1.675415039062500000e-02,5.790648013692174523e-01
6.874999999999999601e-04,-2.807617187500000000e-02,5.788729399545468057e-01
7.083333333333333842e-04,-3.866577148437500000e-02,5.786810526279172473e-01
7.291666666666666999e-04,-4.815673828125000000e-02,5.784891394457027936e-01
7.500000000000000156e-04,-6.112670898437500000e-02,5.782972004644922892e-01
7.708333333333333313e-04,-7.638549804687500000e-02,5.781052357411254894e-01
7.916666666666666470e-04,-8.706665039062500000e-02,5.779132453327329166e-01
8.124999999999999627e-04,-9.304809570312500000e-02,5.777212292967582874e-01
8.333333333333333868e-04,-9.689331054687500000e-02,5.775291876909602884e-01
8.541666666666667025e-04,-9.677124023437500000e-02,5.773371205733994760e-01
8.750000000000000182e-04,-9.786987304687500000e-02,5.771450280024141843e-01
8.958333333333333339e-04,-1.004028320312500000e-01,5.769529100365977659e-01
9.166666666666666496e-04,-1.002807617187500000e-01,5.767607667347807165e-01
9.374999999999999653e-04,-9.851074218750000000e-02,5.765685981560185747e-01
9.583333333333332810e-04,-9.796142578125000000e-02,5.763764043595742681e-01
9.791666666666665967e-04,-9.829711914062500000e-02,5.761841854049009060e-01
1.000000000000000021e-03,-9.893798828125000000e-02,5.759919413516295661e-01
1.020833333333333228e-03,-1.005249023437500000e-01,5.757996722595629668e-01
1.041666666666666652e-03,-1.002807617187500000e-01,5.756073781886767993e-01
1.062500000000000076e-03,-9.814453125000000000e-02,5.754150591991220587e-01
1.083333333333333284e-03,-9.591674804687500000e-02,5.752227153512190494e-01
1.104166666666666708e-03,-9.304809570312500000e-02,5.750303467054531659e-01
1.124999999999999915e-03,-8.987426757812500000e-02,5.748379533224623472e-01
1.145833333333333339e-03,-8.660888671875000000e-02,5.746455352630264191e-01
1.166666666666666763e-03,-8.261108398437500000e-02,5.744530925880532157e-01
1.187499999999999971e-03,-7.803344726562500000e-02,5.742606253585673670e-01
1.208333333333333395e-03,-7.308959960937500000e-02,5.740681336356963094e-01
1.229166666666666602e-03,-6.771850585937500000e-02,5.738756174806539656e-01
1.250000000000000026e-03,-6.188964843750000000e-02,5.736830769547219822e-01
1.270833333333333233e-03,-5.563354492187500000e-02,5.734905121192269695e-01
1.291666666666666657e-03,-5.169677734375000000e-02,5.732979230355151889e-01
1.312500000000000082e-03,-5.032348632812500000e-02,5.731053097649158046e-01
1.333333333333333289e-03,-5.029296875000000000e-02,5.729126723687150147e-01
1.354166666666666713e-03,-5.236816406250000000e-02,5.727200109081350687e-01
1.374999999999999920e-03,-5.502319335937500000e-02,5.725273254443247195e-01
1.395833333333333344e-03,-5.816650390625000000e-02,5.723346160383672165e-01
1.416666666666666768e-03,-6.335449218750000000e-02,5.721418827512955163e-01
1.437499999999999976e-03,-7.028198242187500000e-02,5.719491256441251448e-01
1.458333333333333400e-03,-7.128906250000000000e-02,5.717563447779003827e-01
1.479166666666666607e-03,-6.582641601562500000e-02,5.715635402137626553e-01
1.500000000000000031e-03,-5.743408203125000000e-02,5.713707120130139261e-01
1.520833333333333239e-03,-4.394531250000000000e-02,5.711778602371726521e-01
1.541666666666666663e-03,-3.027343750000000000e-02,5.709849849480109762e-01
1.562500000000000087e-03,-1.669311523437500000e-02,5.707920862075808177e-01
1.583333333333333294e-03,1.098632812500000000e-03,5.705991640782273056e-01
1.604166666666666718e-03,2.212524414062500000e-02,5.704062186225995479e-01
1.624999999999999925e-03,3.738403320312500000e-02,5.702132499036536295e-01
1.645833333333333350e-03,4.653930664062500000e-02,5.700202579846370687e-01
1.666666666666666774e-03,5.328369140625000000e-02,5.698272429290467400e-01
1.687499999999999981e-03,5.520629882812500000e-02,5.696342048005773595e-01
1.708333333333333405e-03,5.874633789062500000e-02,5.694411436630709700e-01
1.729166666666666612e-03,6.420898437500000000e-02,5.692480595804759735e-01
1.750000000000000036e-03,6.634521484375000000e-02,5.690549526168137140e-01
1.770833333333333244e-03,6.652832031250000000e-02,5.688618228361554952e-01
1.791666666666666668e-03,6.524658203125000000e-02,5.686686703025890521e-01
1.812500000000000092e-03,6.182861328125000000e-02,5.684754950801822471e-01
1.833333333333333299e-03,5.691528320312500000e-02,5.682822972329466538e-01
1.854166666666666723e-03,5.038452148437500000e-02,5.680890768247941480e-01
1.874999999999999931e-03,4.052734375000000000e-02,5.678958339194980498e-01
1.895833333333333355e-03,2.725219726562500000e-02,5.677025685806452726e-01
1.916666666666666562e-03,1.116943359375000000e-02,5.675092808715875847e-01
1.937499999999999986e-03,-8.087158203125000000e-03,5.673159708553846547e-01
1.958333333333333193e-03,-1.858520507812500000e-02,5.671226385947474302e-01
1.979166666666666834e-03,-1.904296875000000000e-02,5.669292841519991688e-01
2.000000000000000042e-03,-1.565551757812500000e-02,5.667359075890695541e-01
2.020833333333333249e-03,-5.004882812500000000e-03,5.665425089675263370e-01
2.041666666666666456e-03,5.981445312500000000e-03,5.663490883486301808e-01
2.062500000000000097e-03,1.690673828125000000e-02,5.661556457933926145e-01
2.083333333333333304e-03,3.424072265625000000e-02,5.659621813626266595e-01
2.104166666666666512e-03,5.654907226562500000e-02,5.657686951170082246e-01
2.125000000000000153e-03,6.869506835937500000e-02,5.655751871171335043e-01
2.145833333333333360e-03,7.015991210937500000e-02,5.653816574235640546e-01
2.166666666666666567e-03,6.726074218750000000e-02,5.651881060968378945e-01
2.187500000000000208e-03,5.599975585937500000e-02,5.649945331974530749e-01
2.208333333333333415e-03,4.699707031250000000e-02,5.648009387858347052e-01
2.229166666666666623e-03,4.077148437500000000e-02,5.646073229222970946e-01
2.249999999999999830e-03,2.865600585937500000e-02,5.644136856670044500e-01
2.270833333333333471e-03,1.287841796875000000e-02,5.642200270799472284e-01
2.291666666666666678e-03,2.288818359375000000e-03,5.640263472209130491e-01
2.312499999999999886e-03,-3.295898437500000000e-03,5.638326461494427289e-01
2.333333333333333526e-03,-6.713867187500000000e-03,5.636389239247766580e-01
2.354166666666666734e-03,-5.706787109375000000e-03,5.634451806058058398e-01
2.374999999999999941e-03,-7.720947265625000000e-03,5.632514162510333655e-01
2.395833333333333148e-03,-1.303100585937500000e-02,5.630576309185497674e-01
2.416666666666666789e-03,-1.614379882812500000e-02,5.628638246660256916e-01
2.437499999999999997e-03,-1.867675781250000000e-02,5.626699975507144513e-01
2.458333333333333204e-03,-1.919555664062500000e-02,5.624761496294510277e-01
2.479166666666666845e-03,-1.696777343750000000e-02,5.622822809586558446e-01
2.500000000000000052e-03,-1.370239257812500000e-02,5.620883915943407638e-01
2.520833333333333259e-03,-8.850097656250000000e-03,5.618944815921149694e-01
2.541666666666666467e-03,-1.708984375000000000e-03,5.617005510072008434e-01
2.562500000000000108e-03,7.568359375000000000e-03,5.615065998944492875e-01
2.583333333333333315e-03,1.937866210937500000e-02,5.613126283083628154e-01
2.604166666666666522e-03,3.381347656250000000e-02,5.611186363031225310e-01
2.625000000000000163e-03,4.083251953125000000e-02,5.609246239326205474e-01
2.645833333333333370e-03,3.952026367187500000e-02,5.607305912504795264e-01
2.666666666666666578e-03,3.491210937500000000e-02,5.605365383100672227e-01
2.687499999999999785e-03,2.416992187500000000e-02,5.603424651644949295e-01
2.708333333333333426e-03,1.327514648437500000e-02,5.601483718666122602e-01
2.729166666666666633e-03,2.563476562500000000e-03,5.599542584690045954e-01
2.749999999999999840e-03,-1.333618164062500000e-02,5.597601250239939707e-01
