File name,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,D1_Mean,D1_Std,D2_Mean,D2_Std,D3_Mean,D3_Std,A3_Mean,A3_Std,RMS_Envelope_Mean,Hilbert_Envelope_Mean,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2,Unnamed: 38,Max.1,Mean.1,Std.1,Median.1,Energy.1,Entropy.1,MaxFreq1.1,MaxFreq2.1,Bispectrum Matrix,source_file
h1,0,-83.2,126.0,-44.8,24.4,-4.75,11.9,4.15,12.5,-3.81,10.2,-11.9,10.9,-5.76,3890.0,4240.0,7530.0,0.0743,0.109,3.19e-06,0.0193,7.25e-05,0.0354,-0.00023,0.0967,0.000936,0.289,0.109,0.136,37.0,0.0319,0.379,0.0,9530.0,7.21,1.0,157.0,,37.0,0.0319,0.379,0.0,9530.0,7.21,1.0,157.0,,
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006092195089867302,100h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.367342244884956,0.056805651878855,0.2463315069894516,0.0,4220.933564368643,8.664822985132876,79.0,79.0,,,,,,,,,,,100h_denoised_bispectrum_features.csv
,healthy,-140.95500617234865,37.30435027584885,-15.258500362351247,39.91547236301512,-14.63067223665143,27.380608884684868,-1.9040947391435368,3.2920623922083445,1.032399422255749,16.492454818733343,-1.8998477880639624,12.532086589298093,0.7465639387717723,7493.7011897620705,5072.658506606259,13140.941497867803,0.1048336720415778,0.0758292376995086,6.708447101979189e-05,0.03462186248933,-0.0001987706258515,0.1155086798215812,0.0002417732628789,0.0789325598542844,-0.0006557996920449,0.0957764100656674,0.0674846395850181,0.0663250386714935,,,,,,,,,,,,,,,,,,,100h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007717530759121395,101h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.183848598208892,0.051506518372754606,0.21666266130956757,0.0,3275.7417817631913,8.720876380672822,1.0,1.0,,,,,,,,,,,101h_denoised_bispectrum_features.csv
,healthy,-140.78137046568602,45.22970163350642,-10.074106575838924,37.63017067951842,-14.067973098811375,25.007385157350058,-1.96374750713775,4.909341587496088,2.077177543029633,15.12212631119371,-3.2580593586344677,9.689181216996763,0.5896800559993133,7337.720417049944,5158.806816176066,13071.678438166313,0.1034791861007462,0.0759385004639625,4.7455542570734745e-05,0.0368009594718083,-0.0002828811533172,0.1047783620995426,-0.0007641266668459,0.0714956892926031,-0.0011465202969376,0.128635104742306,0.0692263320088386,0.0716790854930877,,,,,,,,,,,,,,,,,,,101h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00582521798414093,102h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.398937233817524,0.05708063249539964,0.2571926369304341,0.0,4584.213478725896,8.64899496198221,80.0,80.0,,,,,,,,,,,102h_denoised_bispectrum_features.csv
,healthy,-138.44256517636362,48.10748092175441,-7.350333262219722,39.61406141180084,-16.097631114296128,24.62143287240108,-2.647362503354007,1.4403643667303632,-2.67256116727125,11.83426231641381,-5.1412814574133945,8.484804575766733,-1.822334817781884,7299.860636593615,5143.15084157164,13065.081956289978,0.0989992837153518,0.0782782658934593,1.0706067796531665e-06,0.03678942845061,1.8388684360713678e-07,0.1063596531172427,0.0005796124015103,0.0766890281994265,-0.0007989195073983,0.1365841548901912,0.0711697936058044,0.0748002305626869,,,,,,,,,,,,,,,,,,,102h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002640180873403568,103h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.855329222644324,0.046114791901149456,0.20978983876007304,0.0,3047.391910791684,8.66634304201271,80.0,80.0,,,,,,,,,,,103h_denoised_bispectrum_features.csv
