Frequency(Hz),Magnitude,Power(dB)
0.000000000000000000e+00,5.519731005416940927e-04,-6.516164015336534021e+01
2.000000000000000111e-01,3.002442944166447305e-04,-7.045050184314024477e+01
4.000000000000000222e-01,2.116462390441449244e-04,-7.348778478681167314e+01
6.000000000000000888e-01,2.294189865419393184e-04,-7.278740907524918669e+01
8.000000000000000444e-01,8.517434197922314602e-05,-8.139381406066411273e+01
1.000000000000000000e+00,9.264492186533802929e-05,-8.066355823699298355e+01
1.200000000000000178e+00,1.829410660872455349e-04,-7.475377114002091616e+01
1.400000000000000133e+00,2.421722631869593662e-04,-7.231750840472150799e+01
1.600000000000000089e+00,8.796253440699201604e-05,-8.111403544723289372e+01
1.800000000000000044e+00,6.891383961387110007e-05,-8.323385843991289335e+01
2.000000000000000000e+00,4.959649413230146501e-04,-6.609097868372710138e+01
2.200000000000000178e+00,4.960557651963690704e-04,-6.608938822099092647e+01
2.400000000000000355e+00,7.570991716337574008e-05,-8.241693310723343302e+01
2.600000000000000089e+00,1.007516600443703677e-04,-7.993494716758193874e+01
2.800000000000000266e+00,1.759580614090371011e-04,-7.509181169249424670e+01
3.000000000000000000e+00,2.769857765431069899e-04,-7.115084749927207497e+01
3.200000000000000178e+00,3.016375087157713839e-04,-7.041029021629336171e+01
3.400000000000000355e+00,5.280155387687110197e-04,-6.554706428680960073e+01
3.600000000000000089e+00,5.029637787933026764e-04,-6.596926406842570145e+01
3.800000000000000266e+00,3.204914534065253832e-04,-6.988366823755387713e+01
4.000000000000000000e+00,1.678602223423444689e-04,-7.550103894491971346e+01
4.200000000000000178e+00,2.469652942869149641e-04,-7.214727794882698220e+01
4.400000000000000355e+00,3.065089597795477082e-04,-7.027113368202292065e+01
4.600000000000000533e+00,5.322904918797369614e-05,-8.547700951025566951e+01
4.800000000000000711e+00,8.564921736564107691e-05,-8.134552188117703508e+01
5.000000000000000000e+00,9.613423033054197735e-05,-8.034242989269488078e+01
5.200000000000000178e+00,3.069291333234417524e-04,-7.025923490868950694e+01
5.400000000000000355e+00,3.790264118409368685e-04,-6.842660822578207558e+01
5.600000000000000533e+00,5.022280162560241587e-04,-6.598197955635521339e+01
5.800000000000000711e+00,6.382998951759467649e-04,-6.389950317704887794e+01
6.000000000000000000e+00,5.241617893363657854e-04,-6.561069117685383389e+01
6.200000000000000178e+00,3.224004614759669535e-04,-6.983208421043435976e+01
6.400000000000000355e+00,1.284385898286886636e-04,-7.782608266427092758e+01
6.600000000000000533e+00,1.698091847860791113e-04,-7.540077134413596127e+01
6.800000000000000711e+00,3.015310077946646095e-04,-7.041335753471150838e+01
7.000000000000000000e+00,3.889596609741198660e-04,-6.820190650771803575e+01
7.200000000000000178e+00,4.834543239421164275e-04,-6.631288922638262306e+01
7.400000000000000355e+00,5.392197664665899191e-04,-6.536468230950390534e+01
7.600000000000000533e+00,1.602592962025081572e-04,-7.590352995702295402e+01
7.800000000000000711e+00,2.198345065927862169e-04,-7.315807878881958004e+01
8.000000000000000000e+00,2.142762140282643832e-04,-7.338051665899024556e+01
8.200000000000001066e+00,2.014313701134919272e-04,-7.391745355261507200e+01
8.400000000000000355e+00,4.341690584468638680e-04,-6.724682060482990664e+01
8.599999999999999645e+00,3.193670931316051637e-04,-6.991419397269768865e+01
8.800000000000000711e+00,2.986698654274756639e-04,-7.049616896639372499e+01
9.000000000000000000e+00,3.700226565233283391e-04,-6.863543131711428202e+01
